USS-WIATAG,S 34° 32.8241',W 58° 29.7620',17.09.2019 16:47:52,02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
USS-WIATAG,"S 34° 32.8248'","W 58° 29.7622'","17.09.2019 16:24:22",02,352593083678514,,,
